ds,yhat,yhat_lower,yhat_upper
2019-12-30 02:00:00,17.23484346637281,14.730473569839901,19.50512584957004
2019-12-30 03:00:00,17.317408975080507,14.769409167408753,19.493749001933562
2019-12-30 04:00:00,17.86874268244489,15.465892236240547,20.258933992119122
2019-12-30 05:00:00,18.919377189544797,16.681071889941627,21.247309089987876
2019-12-30 06:00:00,20.376289799328163,18.00059183074501,22.650204139201794
2019-12-30 07:00:00,22.04824614313267,19.963730577811567,24.41994630072579
2019-12-30 08:00:00,23.700532648860918,21.267971457685423,26.02380421974458
2019-12-30 09:00:00,25.111974429464595,22.76341937875538,27.494653977904427
2019-12-30 10:00:00,26.11590446527874,23.595418528399737,28.462837400984423
2019-12-30 11:00:00,26.62104524648975,24.249589806916042,29.13413075418877
2019-12-30 12:00:00,26.61601307215563,24.32261197864012,29.0921752442111
2019-12-30 13:00:00,26.160572741739866,23.857142056043056,28.461463592079248
2019-12-30 14:00:00,25.364931808921014,23.084706741174056,27.80858094191509
2019-12-30 15:00:00,24.361161322210172,21.93670940544441,26.938545923572654
2019-12-30 16:00:00,23.275877107644387,20.87768572551426,25.748030329184143
2019-12-30 17:00:00,22.21329218788581,19.931006751869447,24.559984024410703
2019-12-30 18:00:00,21.249971877806182,18.88478774847,23.586280318256076
2019-12-30 19:00:00,20.433706755847563,18.086844250006905,22.82000671490835
2019-12-30 20:00:00,19.77862820800356,17.296346233017083,22.359410222723497
2019-12-30 21:00:00,19.25890573610151,16.792677385235894,21.510866522519482
2019-12-30 22:00:00,18.81416441136308,16.542469707533353,21.20071324127765
2019-12-30 23:00:00,18.378032864397337,16.063906732007055,20.74744677122705
2019-12-31 00:00:00,17.924274428484523,15.574096963670625,20.34013662815306
2019-12-31 01:00:00,17.505412604833452,15.175836908804914,19.965291603192576
2019-12-31 02:00:00,17.25475451554248,14.937403875036322,19.513462221755184
2019-12-31 03:00:00,17.34132392557752,15.00081121025396,19.779169303620307
2019-12-31 04:00:00,17.896696678734838,15.56480574550369,20.25373940326598
2019-12-31 05:00:00,18.95135327564614,16.600377711671875,21.288616950928414
2019-12-31 06:00:00,20.41221995642687,18.169980735213393,22.703055294158727
2019-12-31 07:00:00,22.088013020974152,19.628603073388078,24.594108564943767
2019-12-31 08:00:00,23.743971963679414,21.584392742815133,25.981704345125298
2019-12-31 09:00:00,25.158877993209895,22.779243759784453,27.48173003080631
2019-12-31 10:00:00,26.166023802591738,23.850500743066085,28.516309219738467
2019-12-31 11:00:00,26.67409574808937,24.322520592595705,29.042896706289596
2019-12-31 12:00:00,26.671678626420288,24.255342231345757,29.10253149254039
2019-12-31 13:00:00,26.218510780018597,23.91732136440361,28.691961820375127
2019-12-31 14:00:00,25.424778694766307,23.159976554965684,27.759384727038412
2019-12-31 15:00:00,24.42253801025228,22.038868574280176,26.694223501835296
2019-12-31 16:00:00,23.338394994364013,20.844864791050913,25.661984079638952
2019-12-31 17:00:00,22.276559074075266,19.90370292152658,24.652960457735002
2019-12-31 18:00:00,21.3135979610629,18.94548383837614,23.53753544155923
2019-12-31 19:00:00,20.49731057117966,18.084372821449602,23.03713379380038
2019-12-31 20:00:00,19.84184243520543,17.369075011939806,22.38591896672046
